time,away,score,home,
0:47,,61-66,Jabari Bird Offensive Rebound.,2
0:39,Foul on Caleb White.,61-66,,2
0:39,,61-67,Tyrone Wallace made Free Throw.,2
0:39,,61-68,Tyrone Wallace made Free Throw.,2
0:39,California Timeout,,,2
0:32,,61-68,Foul on Jaylen Brown.,2
0:32,B.J. Tyson missed Free Throw.,61-68,,2
0:32,East Carolina Deadball Team Rebound.,61-68,,2
0:32,B.J. Tyson made Free Throw.,62-68,,2
0:29,Foul on Caleb White.,62-68,,2
0:29,,62-69,Tyrone Wallace made Free Throw.,2
0:29,,62-70,Tyrone Wallace made Free Throw.,2
0:22,Prince Williams missed Layup.,62-70,,2
0:22,,62-70,Ivan Rabb Block.,2
0:19,,62-70,Jaylen Brown Defensive Rebound.,2
0:00,End of Game,,,2
